GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TransactionManagementDemo,com.example.transactionmanagementdemo,TransactionManagementDemoApplication,5,3,0,0,2,1,1,1,1,1
TransactionManagementDemo,com.example.transactionmanagementdemo.service,OrdersProductService,5,6,0,0,1,3,1,1,1,1
TransactionManagementDemo,com.example.transactionmanagementdemo.service,UserService,151,9,8,0,38,4,19,1,15,1
TransactionManagementDemo,com.example.transactionmanagementdemo.service,OrdersService,315,12,18,0,65,5,16,1,7,1
TransactionManagementDemo,com.example.transactionmanagementdemo.service,ProductService,81,6,0,0,22,3,13,1,13,1
TransactionManagementDemo,com.example.transactionmanagementdemo.exception,InvalidCredentialsException,4,0,0,0,2,0,1,0,1,0
TransactionManagementDemo,com.example.transactionmanagementdemo.exception,NotEnoughInventoryException,4,0,0,0,2,0,1,0,1,0
TransactionManagementDemo,com.example.transactionmanagementdemo.exception,OrderNotFoundException,4,0,0,0,2,0,1,0,1,0
TransactionManagementDemo,com.example.transactionmanagementdemo.exception,AuthorSaveFailedException,7,0,0,0,2,0,1,0,1,0
TransactionManagementDemo,com.example.transactionmanagementdemo.exception,UserSaveFailedException,7,0,0,0,2,0,1,0,1,0
TransactionManagementDemo,com.example.transactionmanagementdemo.exception,ProductSaveFailedException,7,0,0,0,2,0,1,0,1,0
TransactionManagementDemo,com.example.transactionmanagementdemo.controller,UserController,630,15,34,0,145,6,31,1,14,1
TransactionManagementDemo,com.example.transactionmanagementdemo.controller,AdminController,311,171,46,8,61,38,29,12,2,12
TransactionManagementDemo,com.example.transactionmanagementdemo.controller,LoginController,32,11,0,0,9,5,1,3,1,3
TransactionManagementDemo,com.example.transactionmanagementdemo.AOP,PointCuts,7,0,0,0,5,0,5,0,5,0
TransactionManagementDemo,com.example.transactionmanagementdemo.AOP,LoggingAspect,80,7,0,0,10,2,2,1,2,1
TransactionManagementDemo,com.example.transactionmanagementdemo.AOP,MyExceptionHandler,30,3,0,0,3,1,3,1,3,1
TransactionManagementDemo,com.example.transactionmanagementdemo.dao,OrdersProductDao,78,3,2,0,23,1,3,1,2,1
TransactionManagementDemo,com.example.transactionmanagementdemo.dao,ProductDao,321,3,10,0,92,1,17,1,12,1
TransactionManagementDemo,com.example.transactionmanagementdemo.dao,OrdersDao,436,3,18,0,101,1,17,1,8,1
TransactionManagementDemo,com.example.transactionmanagementdemo.dao,UserDao,331,3,14,0,81,1,22,1,15,1
TransactionManagementDemo,com.example.transactionmanagementdemo.security,AuthUserDetail,49,0,0,0,8,0,9,0,9,0
TransactionManagementDemo,com.example.transactionmanagementdemo.security,JwtFilter,16,20,1,1,5,7,1,3,0,3
TransactionManagementDemo,com.example.transactionmanagementdemo.security,AuthUserDetail.AuthUserDetailBuilder,98,0,0,0,1,0,10,0,10,0
TransactionManagementDemo,com.example.transactionmanagementdemo.security,JwtProvider,81,3,4,0,20,1,5,1,3,1
